Die#,Subs#,Net Name,Pad Name,Side,Layer,Length,Bond Angle,Die X,Die Y,Subs X,Subs Y,Color,Comments
51,51,sdi_B_data_2_i,sdi_B_data_2_i,Left,Inside,3.725152626,12.53559761,-2.369,-0.36,-6.00535,-1.16853,28,
52,52,VSS,VSS_L_10,Left,Outside,0.9732034731,16.10713373,-2.465,-0.4,-3.4,-0.67,29,
53,53,sdi_B_data_3_i,sdi_B_data_3_i,Left,Inside,3.747905787,15.34341007,-2.369,-0.44,-5.98332,-1.43171,29,
54,54,VDD,VDD_L_10,Left,Outside,2.098751709,18.03014424,-2.465,-0.48,-4.46069,-1.1296,30,
55,55,sdi_B_ncmd_i,sdi_B_ncmd_i,Left,Inside,3.775209662,18.12812552,-2.369,-0.52,-5.95682,-1.69463,30,
56,56,VSS,VSS_L_11,Left,Outside,1.013076996,22.64161733,-2.465,-0.56,-3.4,-0.95,31,
57,57,misc_L_5_i,misc_L_5_i,Left,Inside,3.806974998,20.88578111,-2.369,-0.6,-5.92583,-1.95721,31,
58,58,V33,V33_L_4,Left,Outside,2.984614858,22.9839024,-2.465,-0.64,-5.21268,-1.80541,32,
59,59,sdi_B_token_o,sdi_B_token_o,Left,Inside,3.843145619,23.61285937,-2.369,-0.68,-5.89037,-2.21939,32,
60,60,VSS,VZZ_L_4,Left,Outside,1.013076996,22.64161733,-2.465,-0.72,-3.4,-1.11,33,
61,61,misc_L_6_i,misc_L_6_i,Left,Inside,3.883606775,26.30601874,-2.369,-0.76,-5.85042,-2.48108,33,
62,62,VDD,VDD_L_11,Left,Outside,2.137650165,24.32547821,-2.465,-0.8,-4.41287,-1.68054,34,
63,63,sdi_B_sclk_i,sdi_B_sclk_i,Left,Inside,3.92826099,28.9625062,-2.369,-0.84,-5.80598,-2.74221,34,
64,64,VSS,VSS_L_12,Left,Outside,1.055615934,27.65742307,-2.465,-0.88,-3.4,-1.37,35,
65,65,misc_L_7_i,misc_L_7_i,Left,Inside,3.977026644,31.57994289,-2.369,-0.92,-5.75707,-3.00272,35,
66,66,VDD,VDD_L_12,Left,Outside,2.201036619,30.15497236,-2.465,-0.96,-4.36817,-2.06567,36,
67,67,sdi_B_data_4_i,sdi_B_data_4_i,Left,Inside,4.029766837,34.15626164,-2.369,-1,-5.70367,-3.26252,36,
68,68,VSS,VSS_L_13,Left,Outside,1.127441795,33.97196331,-2.465,-1.04,-3.4,-1.67,37,
69,69,sdi_B_data_5_i,sdi_B_data_5_i,Left,Inside,4.086376179,36.68983747,-2.369,-1.08,-5.64579,-3.52154,37,
70,70,VDD,VDD_L_13,Left,Outside,2.284074357,36.0283693,-2.465,-1.12,-4.31219,-2.46346,38,
71,71,sdi_B_data_6_i,sdi_B_data_6_i,Left,Inside,4.146746315,39.17940645,-2.369,-1.16,-5.58344,-3.77971,38,
72,72,VSS,VSS_L_14,Left,Outside,1.224060864,40.19512844,-2.465,-1.2,-3.4,-1.99,39,
73,73,sdi_B_data_7_i,sdi_B_data_7_i,Left,Inside,4.210746374,41.62393431,-2.369,-1.24,-5.51662,-4.03694,39,
74,74,V33,V33_L_5,Left,Outside,3.307032718,40.376259,-2.465,-1.28,-4.98432,-3.42231,40,
75,75,sdi_B_tkn_ex_o,sdi_B_tkn_ex_o,Left,Inside,4.278257673,44.02276421,-2.369,-1.32,-5.44534,-4.29315,40,
76,76,VSS,VZZ_L_5,Left,Outside,1.311725962,44.53670191,-2.465,-1.36,-3.4,-2.28,41,
77,77,sdi_B_sclk_ex_i,sdi_B_sclk_ex_i,Left,Inside,4.349175477,46.37573476,-2.369,-1.4,-5.36961,-4.54828,41,
78,78,VDD,VDD_L_14,Left,Outside,2.362026473,42.16098705,-2.465,-1.44,-4.21588,-3.02543,42,
79,79,VSS,VSS_L_15,Left,Outside,1.325829929,45.15278838,-2.465,-1.52,-3.4,-2.46,43,
80,80,VDD,VDD_L_15,Left,Outside,2.446340715,46.62900931,-2.465,-1.6,-4.14495,-3.3783,44,
81,81,VSS,VSS_L_16,Left,Outside,1.391087704,47.76786982,-2.465,-1.68,-3.4,-2.71,45,
82,82,V33,V33_L_6,Left,Outside,3.338622183,44.85668531,-2.465,-1.805,-4.83166,-4.15985,46,
83,83,VSS,VZZ_L_6,Left,Outside,1.332938483,45.45592496,-2.465,-1.93,-3.4,-2.88,47,
84,84,VSS,VZZ_B_0,Bottom,Outside,1.376344797,47.20825477,-1.825,-2.465,-2.96,-3.4,48,These two in yellow seem to have been swapped
85,85,V33,V33_B_0,Bottom,Outside,3.640537669,50.84946492,-1.95,-2.465,-4.6482,-4.76349,49,These two in yellow seem to have been swapped
86,86,VDD,VDD_B_0,Bottom,Outside,2.47883837,48.55793216,-1.7,-2.465,-3.5582,-4.10565,50,
87,87,VSS,VSS_B_0,Bottom,Outside,1.443684522,49.63546343,-1.62,-2.465,-2.72,-3.4,51,
88,88,V33,V33_B_1,Bottom,Outside,3.511232237,47.45625326,-1.54,-2.465,-4.12694,-4.83913,52,
89,89,VSS,VZZ_B_1,Bottom,Outside,1.340083953,45.75583715,-1.46,-2.465,-2.42,-3.4,53,
90,90,sdo_C_tkn_ex_i,sdo_C_tkn_ex_i,Bottom,Inside,4.47420233,49.30321259,-1.42,-2.369,-4.81221,-5.28643,53,
91,91,VDD,VDD_B_1,Bottom,Outside,2.391910695,42.81361778,-1.38,-2.465,-3.00558,-4.21963,54,
92,92,sdo_C_sclk_ex_o,sdo_C_sclk_ex_o,Bottom,Inside,4.397775094,47.02218163,-1.34,-2.369,-4.55749,-5.36703,54,
93,93,VSS,VSS_B_1,Bottom,Outside,1.318758886,44.84639238,-1.3,-2.465,-2.23,-3.4,55,
94,94,sdo_C_data_8_o,sdo_C_data_8_o,Bottom,Inside,4.324458569,44.6927076,-1.26,-2.369,-4.30141,-5.44321,55,
95,95,V33,V33_B_2,Bottom,Outside,3.358327511,41.50717279,-1.22,-2.465,-3.44561,-4.97996,56,
96,96,sdo_C_data_7_o,sdo_C_data_7_o,Bottom,Inside,4.254391463,42.31441004,-1.18,-2.369,-4.04405,-5.51496,56,
97,97,VSS,VZZ_B_2,Bottom,Outside,1.217630896,39.83569505,-1.14,-2.465,-1.92,-3.4,57,
98,98,sdo_C_data_6_o,sdo_C_data_6_o,Bottom,Inside,4.187679598,39.88723999,-1.1,-2.369,-3.78547,-5.58224,57,
99,99,VDD,VDD_B_2,Bottom,Outside,2.306501655,36.6104078,-1.06,-2.465,-2.43553,-4.31645,58,
100,100,sdo_C_data_5_o,sdo_C_data_5_o,Bottom,Inside,4.124480183,37.41137391,-1.02,-2.369,-3.52576,-5.64505,58,
101,101,VSS,VSS_B_2,Bottom,Outside,1.133060016,34.39132724,-0.98,-2.465,-1.62,-3.4,59,
102,102,sdo_C_data_4_o,sdo_C_data_4_o,Bottom,Inside,4.064929064,34.88741409,-0.94,-2.369,-3.265,-5.70337,59,
103,103,V33,V33_B_3,Bottom,Outside,3.106514719,30.79573364,-0.9,-2.465,-2.49047,-5.13349,60,
104,104,sdo_C_data_3_o,sdo_C_data_3_o,Bottom,Inside,4.009163866,32.31612891,-0.86,-2.369,-3.00326,-5.75719,60,
105,105,VSS,VZZ_B_3,Bottom,Outside,1.06029477,28.13606059,-0.82,-2.465,-1.32,-3.4,61,
106,106,sdo_C_data_2_o,sdo_C_data_2_o,Bottom,Inside,3.957309633,29.69894389,-0.78,-2.369,-2.74062,-5.80648,61,
107,107,VDD,VDD_B_3,Bottom,Outside,2.152404833,24.97487282,-0.74,-2.465,-1.64879,-4.41614,62,
108,108,sdo_C_data_1_o,sdo_C_data_1_o,Bottom,Inside,3.909522059,27.03741149,-0.7,-2.369,-2.47716,-5.85125,62,
109,109,VSS,VSS_B_3,Bottom,Outside,1.020943191,23.67757944,-0.66,-2.465,-1.07,-3.4,63,
110,110,sdo_C_data_0_o,sdo_C_data_0_o,Bottom,Inside,3.863189233,24.194305,-0.62,-2.369,-2.20326,-5.89285,63,
111,111,V33,V33_B_4,Bottom,Outside,2.938413174,19.50760262,-0.58,-2.465,-1.56123,-5.23474,64,
112,112,sdo_C_ncmd_o,sdo_C_ncmd_o,Bottom,Inside,3.824089924,21.44230264,-0.54,-2.369,-1.93795,-5.92841,64,
