Die#,Pad Name,Side,Layer,Die X,Die Y,Width,Height
186,VZZ_R_4_PAD,E,O,2.439207,-0.795,0.075,0.044
190,VSS_R_11_PAD,E,O,2.439207,-0.595,0.075,0.044
194,VSS_R_10_PAD,E,O,2.439207,-0.435,0.075,0.044
198,VSS_R_9_PAD,E,O,2.439207,-0.26,0.075,0.044
202,VSS_R_8_PAD,E,O,2.439207,-0.1,0.075,0.044
206,VZZ_R_3_PAD,E,O,2.439207,0.1,0.075,0.044
210,VSS_R_7_PAD,E,O,2.439207,0.26,0.075,0.044
214,VSS_R_6_PAD,E,O,2.439207,0.435,0.075,0.044
218,VSS_R_5_PAD,E,O,2.439207,0.595,0.075,0.044
222,VZZ_R_2_PAD,E,O,2.439207,0.795,0.075,0.044
226,VSS_R_4_PAD,E,O,2.439207,0.955,0.075,0.044
230,VSS_R_3_PAD,E,O,2.439207,1.13,0.075,0.044
234,VSS_R_2_PAD,E,O,2.439207,1.29,0.075,0.044
238,VZZ_R_1_PAD,E,O,2.439207,1.49,0.075,0.044
241,VSS_R_1_PAD,E,O,2.439207,1.65,0.075,0.044
243,VZZ_R_0_PAD,E,O,2.439207,1.81,0.075,0.044
245,VSS_R_0_PAD,E,O,2.439207,1.97,0.075,0.044
247,VZZ_T_10_PAD,N,O,1.89,2.439207,0.044,0.075
249,VSS_T_11_PAD,N,O,1.73,2.439207,0.044,0.075
251,VZZ_T_9_PAD,N,O,1.57,2.439207,0.044,0.075
255,VSS_T_10_PAD,N,O,1.37,2.439207,0.044,0.075
259,VZZ_T_8_PAD,N,O,1.21,2.439207,0.044,0.075
263,VSS_T_9_PAD,N,O,1.035,2.439207,0.044,0.075
267,VZZ_T_7_PAD,N,O,0.875,2.439207,0.044,0.075
271,VSS_T_8_PAD,N,O,0.675,2.439207,0.044,0.075
275,VZZ_T_6_PAD,N,O,0.515,2.439207,0.044,0.075
279,VSS_T_7_PAD,N,O,0.34,2.439207,0.044,0.075
283,VSS_T_6_PAD,N,O,0.18,2.439207,0.044,0.075
287,VZZ_T_5_PAD,N,O,0.02,2.439207,0.044,0.075
291,VSS_T_5_PAD,N,O,-0.18,2.439207,0.044,0.075
295,VSS_T_4_PAD,N,O,-0.34,2.439207,0.044,0.075
299,VZZ_T_4_PAD,N,O,-0.515,2.439207,0.044,0.075
303,VSS_T_3_PAD,N,O,-0.675,2.439207,0.044,0.075
307,VZZ_T_3_PAD,N,O,-0.875,2.439207,0.044,0.075
311,VSS_T_2_PAD,N,O,-1.035,2.439207,0.044,0.075
315,VZZ_T_2_PAD,N,O,-1.21,2.439207,0.044,0.075
319,VSS_T_1_PAD,N,O,-1.37,2.439207,0.044,0.075
323,VZZ_T_1_PAD,N,O,-1.57,2.439207,0.044,0.075
325,VSS_T_0_PAD,N,O,-1.73,2.439207,0.044,0.075
327,VZZ_T_0_PAD,N,O,-1.89,2.439207,0.044,0.075
