Die#,Subs#,Net Name,Pad Name,Side,Layer,Length,Bond Angle,Die X,Die Y,Subs X,Subs Y,Width,Height
255,255,CI2_4_I,ci2_4_o_PAD,N,I,5.386676041,65.59652796,0.735,1.347661,2.960557,6.253084,0.044,0.075
263,263,CI2_5_I,ci2_5_o_PAD,N,I,5.571765132,57.19131265,1.05,1.347661,4.068981,6.030643,0.044,0.075
265,265,CI2_6_I,ci2_6_o_PAD,N,I,5.630993631,55.06320413,1.12,1.347661,4.344715,5.963861,0.044,0.075
267,267,CI2_7_I,ci2_7_o_PAD,N,I,5.694300648,52.94899094,1.19,1.347661,4.620963,5.892279,0.044,0.075
269,269,CI2_8_I,ci2_8_o_PAD,N,I,5.768928998,50.6831115,1.26,1.347661,4.915245,5.810813,0.044,0.075
257,257,CI2_CLK_I,ci2_clk_o_PAD,N,I,5.430306011,63.44926506,0.805,1.347661,3.232293,6.205281,0.044,0.075
259,259,CI2_TKN_O,ci2_tkn_i_PAD,N,I,5.480147291,61.23316381,0.875,1.347661,3.512301,6.151478,0.044,0.075
261,261,CI2_V_I,ci2_v_o_PAD,N,I,5.533316484,59.05758876,0.945,1.347661,3.7901,6.093501,0.044,0.075
227,227,CLK_A_I,clk_A_i_PAD,N,I,5.207614026,78.32245896,-0.315,1.34766,-1.369039,6.447488,0.044,0.075
235,235,CLK_ASYNC_RESET,clk_async_reset_i_PAD,N,I,3.752371173,89.72515299,0,1.347661,-0.018,5.099989,0.044,0.075
229,229,CLK_B_I,clk_B_i_PAD,N,I,5.189286362,80.52609709,-0.245,1.347661,-1.099148,6.466169,0.044,0.075
231,231,CLK_C_I,clk_C_i_PAD,N,I,5.174494711,82.7533028,-0.175,1.347661,-0.82772,6.480823,0.044,0.075
233,233,CLK_O,clk_o_PAD,N,I,5.163615687,84.95127596,-0.105,1.347661,-0.559413,6.491243,0.044,0.075
203,203,CO_0_O,co_0_i_PAD,N,I,5.702099392,52.51331243,-1.225,1.347661,-4.695167,5.872247,0.044,0.075
