BGA.F22,CI_2_I
BGA.F23,CI_4_I
BGA.F24,CI_CLK_I
BGA.F3,VDD
BGA.F4,VSS
BGA.G1,CO2_CLK_O
BGA.G2,VDD
BGA.G21,V18
BGA.G22,CI_3_I
BGA.G23,VDD
BGA.G24,CI_TKN_O
BGA.G3,CO2_V_O
BGA.G4,CO2_5_O
BGA.H1,VSS
BGA.H2,CO2_2_O
BGA.H21,V18
BGA.H22,VSS
BGA.H23,CI_V_I
BGA.H24,VSS
BGA.H3,CO2_4_O
BGA.H4,V18
BGA.J1,CO2_1_O
BGA.J2,VSS
BGA.J21,CI_5_I
BGA.J22,CI_6_I
BGA.J23,VSS
BGA.J24,CI_7_I
BGA.J3,V18
BGA.J4,CO2_3_O
BGA.K1,VDD
BGA.K10,VSS
BGA.K11,VSS
BGA.K12,VSS
BGA.K13,VSS
BGA.K14,VSS
BGA.K15,VSS
BGA.K2,BSG_TAG_CLK_O
BGA.K21,VSS
BGA.K22,CI_8_I
BGA.K23,VDD
BGA.K24,VDD
BGA.K3,CO2_0_O
BGA.K4,VSS
BGA.L1,DDR_DQ_7_IO
BGA.L10,VSS
BGA.L11,VSS
BGA.L12,VSS
BGA.L13,VSS
BGA.L14,VSS
BGA.L15,VSS
BGA.L2,VSS
BGA.L21,BSG_TAG_EN_I
BGA.L22,V18
BGA.L23,BSG_TAG_DATA_I
BGA.L24,VSS
BGA.L3,V18
BGA.L4,BSG_TAG_DATA_O
BGA.M1,DDR_DQ_4_IO
BGA.M10,VSS
BGA.M11,VSS
BGA.M12,VSS
BGA.M13,VSS
BGA.M14,VSS
BGA.M15,VSS
BGA.M2,DDR_DQ_5_IO
BGA.M21,BSG_TAG_CLK_I
BGA.M22,DDR_DM_3_O
BGA.M23,VSS
BGA.M24,DDR_DQS_P_3_IO
BGA.M3,DDR_DQ_6_IO
BGA.M4,VSS
BGA.N1,VDD
BGA.N10,VSS
BGA.N11,VSS
BGA.N12,VSS
BGA.N13,VSS
BGA.N14,VSS
BGA.N15,VSS
BGA.N2,DDR_DQ_2_IO
BGA.N21,DDR_DQ_25_IO
BGA.N22,DDR_DQ_24_IO
BGA.N23,VSS
BGA.N24,DDR_DQS_N_3_IO
BGA.N3,DDR_DQ_3_IO
BGA.N4,VSS
BGA.P1,VSS
BGA.P10,VSS
BGA.P11,VSS
BGA.P12,VSS
BGA.P13,VSS
BGA.P14,VSS
BGA.P15,VSS
BGA.P2,DDR_DQ_1_IO
BGA.P21,VSS
BGA.P22,V18
BGA.P23,VSS
BGA.P24,VSS
BGA.P3,V18
BGA.P4,DDR_DQ_0_IO
BGA.R1,DDR_DQS_N_0_IO
BGA.R10,VSS
BGA.R11,VSS
BGA.R12,VSS
BGA.R13,VSS
BGA.R14,VSS
BGA.R15,VSS
BGA.R2,VSS
BGA.R21,VSS
BGA.R22,DDR_DQ_28_IO
BGA.R23,DDR_DQ_26_IO
BGA.R24,VDD
BGA.R3,DDR_DM_0_O
BGA.R4,VSS
BGA.T1,DDR_DQS_P_0_IO
BGA.T2,VSS
BGA.T21,DDR_DQ_31_IO
BGA.T22,DDR_DQ_30_IO
BGA.T23,DDR_DQ_29_IO
BGA.T24,DDR_DQ_27_IO
BGA.T3,DDR_DQ_15_IO
BGA.T4,DDR_DQ_13_IO
BGA.U1,VSS
BGA.U2,VSS
BGA.U21,V18
BGA.U22,VSS
BGA.U23,DDR_DQ_16_IO
BGA.U24,VSS
BGA.U3,DDR_DQ_14_IO
BGA.U4,V18
BGA.V1,VDD
BGA.V2,DDR_DQ_12_IO
BGA.V21,V18
BGA.V22,DDR_DQ_18_IO
BGA.V23,VDD
BGA.V24,DDR_DQ_17_IO
BGA.V3,VDD
BGA.V4,DDR_DQ_11_IO
BGA.W1,VSS
BGA.W2,VDD
BGA.W21,VSS
BGA.W22,VDD
BGA.W23,DDR_DQ_20_IO
BGA.W24,DDR_DQ_19_IO
BGA.W3,VSS
BGA.W4,VSS
BGA.Y1,VDD
BGA.Y2,DDR_DQ_10_IO
BGA.Y21,V18
BGA.Y22,VSS
BGA.Y23,DDR_DQ_21_IO
BGA.Y24,VDD
BGA.Y3,VDD
BGA.Y4,V18
