Die#,Pad Name,Side,Layer,Die X,Die Y,Width,Height
163,ddr_dq_2_io_PAD,W,I,-1.347607,-0.221,0.075,0.044
165,ddr_dq_3_io_PAD,W,I,-1.347607,-0.147,0.075,0.044
167,ddr_dq_4_io_PAD,W,I,-1.347607,-0.073,0.075,0.044
169,ddr_dq_5_io_PAD,W,I,-1.347607,0.001,0.075,0.044
171,ddr_dq_6_io_PAD,W,I,-1.347607,0.073,0.075,0.044
173,ddr_dq_7_io_PAD,W,I,-1.347607,0.147,0.075,0.044
175,bsg_tag_data_o_PAD,W,I,-1.347607,0.221,0.075,0.044
177,bsg_tag_clk_o_PAD,W,I,-1.347607,0.295,0.075,0.044
179,co2_0_o_PAD,W,I,-1.347607,0.406,0.075,0.044
181,co2_1_o_PAD,W,I,-1.347607,0.48,0.075,0.044
183,co2_2_o_PAD,W,I,-1.347607,0.554,0.075,0.044
185,co2_3_o_PAD,W,I,-1.347607,0.628,0.075,0.044
187,co2_4_o_PAD,W,I,-1.347607,0.7,0.075,0.044
189,co2_clk_o_PAD,W,I,-1.347607,0.774,0.075,0.044
191,co2_tkn_i_PAD,W,I,-1.347607,0.848,0.075,0.044
193,co2_v_o_PAD,W,I,-1.347607,0.922,0.075,0.044
195,co2_5_o_PAD,W,I,-1.347607,1.033,0.075,0.044
197,co2_6_o_PAD,W,I,-1.347607,1.107,0.075,0.044
199,co2_7_o_PAD,W,I,-1.347607,1.181,0.075,0.044
201,co2_8_o_PAD,W,I,-1.347607,1.255,0.075,0.044
203,co_0_i_PAD,N,I,-1.225,1.347661,0.044,0.075
205,co_1_i_PAD,N,I,-1.155,1.347661,0.044,0.075
207,co_2_i_PAD,N,I,-1.085,1.347661,0.044,0.075
209,co_3_i_PAD,N,I,-0.98,1.347661,0.044,0.075
211,co_4_i_PAD,N,I,-0.91,1.347661,0.044,0.075
213,co_clk_i_PAD,N,I,-0.84,1.347661,0.044,0.075
215,co_tkn_o_PAD,N,I,-0.77,1.347661,0.044,0.075
217,co_v_i_PAD,N,I,-0.7,1.347661,0.044,0.075
219,co_5_i_PAD,N,I,-0.63,1.347661,0.044,0.075
221,co_6_i_PAD,N,I,-0.56,1.347661,0.044,0.075
223,co_7_i_PAD,N,I,-0.455,1.347661,0.044,0.075
225,co_8_i_PAD,N,I,-0.385,1.347661,0.044,0.075
227,clk_A_i_PAD,N,I,-0.315,1.347661,0.044,0.075
229,clk_B_i_PAD,N,I,-0.245,1.347661,0.044,0.075
231,clk_C_i_PAD,N,I,-0.175,1.347661,0.044,0.075
233,clk_o_PAD,N,I,-0.105,1.347661,0.044,0.075
235,clk_async_reset_i_PAD,N,I,0.0,1.347661,0.044,0.075
237,misc_o_PAD,N,I,0.07,1.347661,0.044,0.075
239,sel_0_i_PAD,N,I,0.14,1.347661,0.044,0.075
241,sel_1_i_PAD,N,I,0.21,1.347661,0.044,0.075
243,sel_2_i_PAD,N,I,0.28,1.347661,0.044,0.075
245,core_async_reset_i_PAD,N,I,0.35,1.347661,0.044,0.075
247,ci2_0_o_PAD,N,I,0.455,1.347661,0.044,0.075
249,ci2_1_o_PAD,N,I,0.525,1.347661,0.044,0.075
251,ci2_2_o_PAD,N,I,0.595,1.347661,0.044,0.075
253,ci2_3_o_PAD,N,I,0.665,1.347661,0.044,0.075
255,ci2_4_o_PAD,N,I,0.735,1.347661,0.044,0.075
257,ci2_clk_o_PAD,N,I,0.805,1.347661,0.044,0.075
259,ci2_tkn_i_PAD,N,I,0.875,1.347661,0.044,0.075
261,ci2_v_o_PAD,N,I,0.945,1.347661,0.044,0.075
263,ci2_5_o_PAD,N,I,1.05,1.347661,0.044,0.075
265,ci2_6_o_PAD,N,I,1.12,1.347661,0.044,0.075
267,ci2_7_o_PAD,N,I,1.19,1.347661,0.044,0.075
269,ci2_8_o_PAD,N,I,1.26,1.347661,0.044,0.075
