Subs#,Net Name,Side,Subs X,Subs Y
126,PLL_CLK_i,S,-0.20883,-6.04786
127,VDD,S,0.0101,-4.5
128,PLL_V33_i,S,0.25121,-4.49806
129,VSS,S,0.23201,-3.4
130,PLL_VZZ_i,S,0.48276,-4.49283
131,VDD,S,0.72374,-4.48388
132,JTAG_TCK_i,S,1.1598,-6.00611
133,VSS,S,0.63,-3.4
134,sdo_D_sclk_i,S,1.42644,-5.98394
135,V33,S,1.33303,-5.25245
136,JTAG_TRST_i,S,1.6927,-5.95718
137,VSS,S,0.88,-3.4
138,sdo_D_token_i,S,1.9585,-5.92584
139,VDD,S,1.28707,-4.44895
140,sdo_D_ncmd_o,S,2.22376,-5.88993
141,VSS,S,1.06,-3.4
142,sdo_D_data_0_o,S,2.48842,-5.84944
143,V33,S,2.04516,-5.18788
144,sdo_D_data_1_o,S,2.75239,-5.80438
145,VSS,S,1.33,-3.4
146,sdo_D_data_2_o,S,3.0156,-5.75477
147,VDD,S,2.06135,-4.36873
148,sdo_D_data_3_o,S,3.27797,-5.7006
149,VSS,S,1.62,-3.4
150,sdo_D_data_4_o,S,3.53941,-5.64189
151,V33,S,2.96502,-5.06355
152,sdo_D_data_5_o,S,3.79986,-5.57864
153,VSS,S,1.93,-3.4
154,sdo_D_data_6_o,S,4.05923,-5.51088
155,VDD,S,2.84234,-4.24949
156,sdo_D_data_7_o,S,4.31744,-5.43861
157,VSS,S,2.25,-3.4
158,sdo_D_sclk_ex_o,S,4.57441,-5.36185
159,V33,S,3.9813,-4.87146
160,sdo_D_tkn_ex_i,S,4.83007,-5.28062
161,VSS,S,2.51,-3.4
162,VDD,S,3.3795,-4.1447
163,VSS,S,2.77,-3.4
164,V33,S,4.40519,-4.77397
165,VSS,S,2.96,-3.4
166,VDD,S,3.77106,-4.05638
167,VSS,E,3.4,-2.93
168,V33,E,4.80207,-4.28755
169,VSS,E,3.4,-2.76
170,VDD,E,4.11804,-3.50254
171,VSS,E,3.4,-2.53
172,VDD,E,4.19323,-3.14261
173,sdi_D_sclk_ex_i,E,5.30735,-4.74756
174,VSS,E,3.4,-2.34
175,sdi_D_tkn_ex_o,E,5.38968,-4.483
176,V33,E,4.94734,-3.61538
177,sdi_D_data_7_i,E,5.4672,-4.21716
178,VSS,E,3.4,-2.03
179,sdi_D_data_6_i,E,5.53991,-3.95011
180,VDD,E,4.29853,-2.55089
181,sdi_D_data_5_i,E,5.6078,-3.68196
182,VSS,E,3.4,-1.72
183,sdi_D_data_4_i,E,5.67084,-3.41279
184,VDD,E,4.35771,-2.1457
185,misc_R_7_i,E,5.72904,-3.14269
186,VSS,E,3.4,-1.42
187,sdi_D_sclk_i,E,5.78238,-2.87174
188,VDD,E,4.40461,-1.75812
189,misc_R_6_i,E,5.83087,-2.60002
190,VSS,E,3.4,-1.14
191,sdi_D_token_o,E,5.8745,-2.32764
192,V33,E,5.20465,-1.88642
193,misc_R_5_i,E,5.91327,-2.05466
194,VSS,E,3.4,-0.98
195,sdi_D_ncmd_i,E,5.94717,-1.78117
196,VDD,E,4.45737,-1.17634
197,sdi_D_data_3_i,E,5.97622,-1.50725
198,VSS,E,3.4,-0.69
199,sdi_D_data_2_i,E,6.0004,-1.23299
200,VDD,E,4.48136,-0.77815
201,sdi_D_data_1_i,E,6.01974,-0.95845
202,VSS,E,3.4,-0.39
203,sdi_D_data_0_i,E,6.03421,-0.68373
204,VDD,E,4.49533,-0.38941
205,misc_R_4_i,E,6.04384,-0.40889
206,VSS,E,3.4,-0.14
207,clk_2_i,E,6.04862,-0.13402
208,VDD,E,4.5,0
209,clk_1_i,E,6.04856,0.14081
210,VSS,E,3.4,0.13
211,misc_R_3_i,E,6.04367,0.41552
212,V33,E,5.29381,0.48138
213,sdi_C_data_0_i,E,6.03394,0.69003
214,VSS,E,3.4,0.42
215,sdi_C_data_1_i,E,6.01938,0.96428
216,VDD,E,4.48046,0.79659
217,sdi_C_data_2_i,E,6,1.23818
218,VSS,E,3.4,0.69
219,sdi_C_ncmd_i,E,5.97579,1.51165
220,VDD,E,4.45957,1.14562
221,misc_R_2_i,E,5.94678,1.78462
222,VSS,E,3.4,0.86
223,sdi_C_sclk_i,E,5.91296,2.05701
224,VDD,E,4.44009,1.39412
225,misc_R_1_i,E,5.87433,2.32874
226,VSS,E,3.4,1.12
227,sdi_C_token_o,E,5.83092,2.59973
228,V33,E,5.18004,2.11521
229,misc_R_0_i,E,5.78273,2.86989
230,VSS,E,3.4,1.41
231,sdi_C_data_3_i,E,5.72976,3.13915
232,VDD,E,4.3611,2.12014
233,sdi_C_data_4_i,E,5.67204,3.40743
234,VSS,E,3.4,1.71
235,sdi_C_data_5_i,E,5.60957,3.67464
236,VDD,E,4.29935,2.54576
237,sdi_C_data_6_i,E,5.54418,3.93377
238,VSS,E,3.4,2.02
239,sdi_C_data_7_i,E,5.47252,4.19816
240,VDD,E,4.23563,2.91929
241,sdi_C_tkn_ex_o,E,5.39387,4.46902
242,VSS,E,3.4,2.3
243,sdi_C_sclk_ex_i,E,5.3126,4.73112
244,V33,E,4.91823,3.76015
245,VSS,E,3.4,2.54
246,VDD,E,4.12338,3.47827
247,VSS,E,3.4,2.76
248,V33,E,4.80562,4.27243
249,VSS,E,3.4,2.93
250,VDD,N,3.66415,4.0815
251,VSS,N,2.86,3.4
252,V33,N,4.24485,4.81207
253,VSS,N,2.69,3.4
254,VDD,N,3.29794,4.16182
255,VSS,N,2.36,3.4
256,sdo_B_tkn_ex_i,N,4.6609,5.33471
257,V33,N,3.75596,4.91909
258,sdo_B_sclk_ex_o,N,4.40072,5.41405
259,VSS,N,2.17,3.4
260,sdo_B_data_7_o,N,4.13938,5.48874
261,VDD,N,2.73127,4.26882
262,sdo_B_data_6_o,N,3.87695,5.55878
263,VSS,N,1.87,3.4
264,sdo_B_data_5_o,N,3.61352,5.62415
265,V33,N,2.80967,5.08781
266,sdo_B_data_4_o,N,3.34916,5.68485
267,VSS,N,1.55,3.4
268,sdo_B_data_3_o,N,3.08397,5.74089
269,VDD,N,1.93059,4.38491
270,sdo_B_data_2_o,N,2.81801,5.79224
271,VSS,N,1.29,3.4
272,sdo_B_data_1_o,N,2.55138,5.83891
273,V33,N,1.85875,5.20743
274,sdo_B_data_0_o,N,2.28414,5.8809
275,VSS,N,1,3.4
276,sdo_B_ncmd_o,N,2.01638,5.91822
277,VDD,N,1.35361,4.44352
278,sdo_B_token_i,N,1.74793,5.95093
279,VSS,N,0.83,3.4
280,JTAG_TDO_o,N,1.47934,5.97889
281,V33,N,1.17084,5.26333
282,sdo_B_sclk_i,N,1.21045,6.00216
283,VSS,N,0.54,3.4
284,SMA_in_n_i,N,0.94133,6.02077
285,VDD,N,0.58106,4.48961
286,SMA_in_p_i,N,0.67205,6.03472
287,VSS,N,0.27,3.4
288,misc_T_2_i,N,0.4027,6.044
289,VDD,N,0.2006,4.49876
290,reset_i,N,0.13334,6.04863
291,VSS,N,0,3.4
292,SMA_out_n_o,N,-0.13597,6.04861
293,V33,N,-0.23998,5.29846
294,SMA_out_p_o,N,-0.40514,6.04394
295,VSS,N,-0.27,3.4
296,misc_T_1_i,N,-0.67411,6.03463
297,VDD,N,-0.56582,4.49015
298,sdo_A_sclk_i,N,-0.9428,6.02068
299,VSS,N,-0.54,3.4
300,misc_T_0_i,N,-1.21116,6.00211
301,VDD,N,-0.9601,4.47161
302,sdo_A_token_i,N,-1.47909,5.97891
303,VSS,N,-0.83,3.4
304,sdo_A_ncmd_o,N,-1.74678,5.95101
305,V33,N,-1.39833,5.24767
306,sdo_A_data_0_o,N,-2.01366,5.91857
307,VSS,N,-0.99,3.4
308,sdo_A_data_1_o,N,-2.27992,5.88153
309,VDD,N,-1.54065,4.4268
310,sdo_A_data_2_o,N,-2.54546,5.83989
311,VSS,N,-1.27,3.4
312,sdo_A_data_3_o,N,-2.81023,5.79366
313,V33,N,-2.33805,5.15333
314,sdo_A_data_4_o,N,-3.07414,5.74286
315,VSS,N,-1.55,3.4
316,sdo_A_data_5_o,N,-3.32954,5.68914
317,VDD,N,-2.33566,4.33127
318,sdo_A_data_6_o,N,-3.59885,5.62763
319,VSS,N,-1.87,3.4
320,sdo_A_data_7_o,N,-3.86,5.56311
321,V33,N,-3.22523,5.0199
322,sdo_A_data_8_o,N,-4.11974,5.49413
323,VSS,N,-2.19,3.4
324,sdo_A_sclk_ex_o,N,-4.37824,5.42064
325,VDD,N,-3.07915,4.2056
326,sdo_A_tkn_ex_i,N,-4.63544,5.34266
327,VSS,N,-2.47,3.4
328,V33,N,-3.9932,4.86887
329,VSS,N,-2.68,3.4
330,VDD,N,-3.5188,4.11444
331,VSS,N,-2.85,3.4
332,V33,N,-4.36677,4.78323
