Subs#,Net Name,Side,Subs X,Subs Y
295,VSS,N,-0.54,3.4
296,misc_T_0_i,N,-1.21116,6.00211
297,VDD,N,-0.9601,4.47161
298,sdo_A_token_i,N,-1.47909,5.97891
299,VSS,N,-0.83,3.4
300,sdo_A_ncmd_o,N,-1.74678,5.95101
301,V33,N,-1.39833,5.24767
302,sdo_A_data_0_o,N,-2.01366,5.91857
303,VSS,N,-0.99,3.4
304,sdo_A_data_1_o,N,-2.27992,5.88153
305,VDD,N,-1.54065,4.4268
306,sdo_A_data_2_o,N,-2.54546,5.83989
307,VSS,N,-1.27,3.4
308,sdo_A_data_3_o,N,-2.81023,5.79366
309,V33,N,-2.33805,5.15333
310,sdo_A_data_4_o,N,-3.07414,5.74286
311,VSS,N,-1.55,3.4
312,sdo_A_data_5_o,N,-3.32954,5.68914
313,VDD,N,-2.33566,4.33127
314,sdo_A_data_6_o,N,-3.59885,5.62763
315,VSS,N,-1.87,3.4
316,sdo_A_data_7_o,N,-3.86,5.56311
317,V33,N,-3.22523,5.0199
318,sdo_A_data_8_o,N,-4.11974,5.49413
319,VSS,N,-2.19,3.4
320,sdo_A_sclk_ex_o,N,-4.37824,5.42064
321,VDD,N,-3.07915,4.2056
322,sdo_A_tkn_ex_i,N,-4.63544,5.34266
323,VSS,N,-2.47,3.4
324,V33,N,-3.9932,4.86887
325,VSS,N,-2.68,3.4
326,VDD,N,-3.5188,4.11444
327,VSS,N,-2.85,3.4
328,V33,N,-4.36677,4.78323
